speaker,occupation,about_speaker,language
Alex Edmans,"{0: ['finance professor', 'editor']}","{0: 'Alex Edmans uses rigorous academic research to influence real-life business practices -- in particular, how companies can pursue purpose as well as profit.'}",en
A.J. Jacobs,{0: ['author']},"{0: ""Immersing himself in alternate lifestyles and hilarious experiments (usually with himself as the guinea pig), writer A.J. Jacobs tests the limits of behavior, customs, culture -- and reports back on the wisdom and practical knowledge he's gained.""}",en
Alex Gendler,,,en
Alex Gendler,,,en
Stan Lee,"{0: ['comics writer', 'comics artist', 'comics creator', 'editor', 'publisher']}","{0: 'Stan Lee was a comic book writer, artist, creator and publisher. He was the editor-in-chief and chairman emeritus of Marvel Comics. '}",en
Sana Amanat,"{0: ['comics creator', 'editor', 'senior publishing executive']}",{0: 'Sana Amanat is the Director of Character and Content Development at Marvel Comics.'},en
Teresa Bejan,"{0: ['political theorist', 'author']}","{0: 'Teresa Bejan writes about political theory, bringing historical perspectives to bear on contemporary questions.'}",en
Dawn Wacek,{0: ['librarian']},{0: 'Dawn Wacek advocates for equitable library service for all community members.'},en
Jonathan Butterworth,,,en
Scott Gass,,,en
Alexander Belcredi,{0: ['biotech entrepreneur']},{0: 'Alexander Belcredi studies how viruses can help in the fight against superbugs.'},en
Melvin Sanicas,,,en
Julia Dhar,"{0: ['business strategist', 'champion debater']}","{0: ""BCG's Julia Dhar is a champion of ideas, facts and constructive disagreement.""}",en
Sebastien de Halleux,"{0: ['entrepreneur', 'explorer']}",{0: 'Sebastien de Halleux is a technology entrepreneur with a lifelong passion for building impactful businesses.'},en
David Cage,{0: ['interactive storyteller']},"{0: 'The creator of emotional, immersive games like ""Heavy Rain,"" ""BEYOND: Two Souls"" and ""Detroit: Become Human,"" David Cage uses games to push the boundaries of storytelling.'}",en
Paul Rucker,"{0: ['visual artist', 'cellist']}","{0: 'TED Fellow Paul Rucker creates art that explores issues related to mass incarceration, racially-motivated violence, police brutality and the continuing impact of slavery in the US.'}",en
Aparna Mehta,{0: ['global supply chain leader']},"{0: ""UPS's Aparna Mehta works with the top-tier retail customers to develop innovative, profitable solutions that enhance customer experiences.""}",en
George Zaidan,,,en
Floyd E. Romesberg,"{0: ['chemist', 'synthetic biologist']}","{0: 'Floyd E. Romesberg uses chemistry, biology and physics to study how biomolecules work and to create biomolecules with new forms and functions.'}",en
Hayley Levitt,,,en
Nita Farahany,"{0: ['legal scholar', 'ethicist']}","{0: 'Nita A. Farahany is a leading scholar on the ethical, legal, and social implications of biosciences and emerging technologies, particularly those related to neuroscience and behavioral genetics.'}",en
Chad Frischmann,"{0: ['systems strategist', 'coalition-builder']}","{0: 'Chad Frischmann is working to get humanity to ""drawdown,"" the point in time when the concentration of atmospheric greenhouse gases begins to decline on a year-to-year basis.'}",en
Alex Gendler,,,en
Gabby Rivera,{0: ['writer']},"{0: 'Gabby Rivera is a Bronx-born, queer Latinx writer.'}",en
Mia Nacamulli,,,en
Alejandro Chaskielberg,{0: ['photographer']},"{0: 'Alejandro Chaskielberg is a photographer, videographer, and teacher based in Buenos Aires. In 2011, he was named Photographer of the Year at the Sony World Photography Awards.'}",es
Tarana Burke,{0: ['civil rights activist']},"{0: 'For more than 25 years, activist and advocate Tarana J. Burke has worked at the intersection of racial justice and sexual violence.'}",en
Chieh Huang,{0: ['entrepreneur']},"{0: ""Chieh Huang is cofounder and CEO of Boxed.com, a company that's disrupting the wholesale shopping club experience.""}",en
Iseult Gillespie,,,en
Stacey Abrams,{0: ['politician']},{0: 'Former Georgia House Democratic Leader Stacey Abrams made history in 2018 when she earned the Democratic nomination for governor of Georgia. '},en
Daniel Finkel,,,en
Jac de Haan,,,en
Erez Yoeli,{0: ['research scientist']},"{0: ""Erez Yoeli's research focuses on altruism: understanding how it works and how to promote it.""}",en
Jordan Wirfs-Brock,{0: ['energy storyteller']},"{0: 'A passionate storyteller who loves finding elegant ways of communicating complex issues, Jordan finds narratives where others might see only chaos. A reporter for Inside Energy, Jordan has covered everything from gas leaks to garbage to dairy farming over the course of her career. She spends her free time brewing beer and running ultramarathons.'}",en
Amy Herman,{0: ['visual educator']},"{0: 'By showing people how to look closely at painting, sculpture and photography, Amy Herman helps them hone their visual intelligence to recognize the most pertinent and useful information as well as recognize biases that impede decision making.'}",en
Balsher Singh Sidhu,,,en
Ai-jen Poo,{0: ['activist']},{0: 'Ai-jen Poo has spent the last 20 years bringing care and respect to the women that care for us.'},en
Renata di Tullio,{0: ['técnica agropecuaria y agroalimentaria']},"{0: 'Rena es Técnica Agropecuaria y Agroalimentaria, forma parte de Expedición Ciencia y le gustan mucho los insectos… en formatos bastante particulares.'}",es
Elizabeth Leane,,,en
Ariel Anbar,,"{0: 'Ariel Anbar is a scientist and educator interested in Earth’s past and future evolution as an inhabited world, and the prospects for life beyond. His group’s major focus is the chemical evolution of the atmosphere and oceans, as revealed by the development of novel geochemical methods. Trained as a geologist and a chemist, Anbar is a President’s Professor at Arizona State University, where he is on the faculty of the School of Earth & Space Exploration and the School of Molecular Sciences, and a Distinguished Sustainability Scholar in the Global Institute of Sustainability. The author or co-author of over 100 refereed papers, Anbar directed ASU’s NASA-funded Astrobiology Program from 2009 – 2015, and oversees ASU’s new Center for Education Through eXploration. He is a graduate of Harvard (A.B. 1989) and Caltech (Ph.D. 1996). Before coming to ASU he was on the faculty of the University of Rochester from 1996 to 2004. Anbar is a Fellow of the Geological Society of America, which awarded him the Donath Medal in 2002. He was recognized as an HHMI Professor in 2014, and elected a Fellow of the Geochemical Society and the European Association of Geochemistry in 2015.'}",en
Alan Crickmore,"{0: ['audio/video editor', 'charity worker']}","{0: 'Alan Crickmore works with Storybook Dads, a charity that promotes family ties between prisoners and their children.'}",en
J. Marshall Shepherd,{0: ['meteorologist']},{0: 'Dr. J. Marshall Shepherd is a leading international expert in weather and climate and is the Georgia Athletic Association Distinguished Professor of Geography and Atmospheric Sciences at the University of Georgia.  '},en
Darren Croft,,,en
Christopher Warner,,,en
Nadjia Yousif,{0: ['technology mentor']},"{0: ""BCG's Nadjia Yousif designs and implements programs for large financial services institutions to adapt and thrive in an era of technology disruption.""}",en
Carla Harris,"{0: ['business executive', 'author']}","{0: 'At Morgan Stanley, Carla Harris is responsible for improving the access to capital for female and multicultural founders, as well as increasing client connectivity to enhance revenue generation.'}",en
Douglas Rushkoff,"{0: ['media theorist', 'author']}",{0: 'Douglas Rushkoff promotes human autonomy in the digital age.'},en
Bradley Voytek,{0: ['assistant professor of cognitive science and neuroscience at the university of california at san diego']},"{0: 'Bradley Voytek is a new Assistant Professor of Cognitive Science and Neuroscience at UC San Diego. In his other lives he’s a data scientist for Uber and is the world’s expert on zombie brains (seriously!). With his zombie co-conspirator, CMU professor Timothy Verstynen, he has published the book Do Zombies Dream of Undead Sheep: A Neuroscientific View of the Zombie Brain. In his real research, he studies the role that neuronal oscillations play in coordinating communication within the brain.'}",en
Paul Kindstedt,,,en
Madame Gandhi,"{0: ['musician', 'activist'], 1: ['sign language interpreter']}","{0: 'Madame Gandhi’s mission is to elevate and celebrate the female voice.', 1: 'Amber Galloway-Gallego is a world-renowned ASL interpreter specializing in music. '}",en
Katharine Hayhoe,{0: ['climate scientist']},{0: 'Katharine Hayhoe studies what climate change means to us in the places where we live.'},en
Li Wei Tan,{0: ['formulation scientist']},"{0: ""As a formulation scientist, Li Wei Tan is constantly finding ways to understand why something works and why it doesn't.""}",en
Fiona Radford,,,en
Eldridge Adams,,,en
Eldra Jackson III,{0: ['educator']},{0: 'Eldra Jackson III works daily to connect to his most authentic self -- and his calling is to support others in doing the same.'},en
Darrick Hamilton,{0: ['stratification economist']},"{0: 'Darrick Hamilton crafts and implements innovative routes and policies that break down social hierarchy and move society towards greater equity, inclusion and civic participation.'}",en
Christopher Warner,,,en
Alex Rosenthal,{0: ['producer']},{0: 'Alex Rosenthal takes everyday experiences and turns them into mind-bending puzzles.'},en
Dana Kanze,{0: ['researcher']},"{0: 'Dr. Dana Kanze is an assistant professor of organizational behavior at London Business School, where she applies behavioral insights to understand sources of labor market inequality.'}",en
Daniel Finkel,,,en
Ariana Curtis,{0: ['afro-latina researcher and curator']},"{0: 'Ariana A. Curtis gets to research, collect, interpret and display objects and stories that help tell the history of all of us and our connections to each other.'}",en
Eddie Woo,,"{0: ""A public high school teacher for more than 10 years, Eddie Woo gained international attention when he posted videos of his classroom lessons online, to assist an ill student. His YouTube channel, WooTube, has more than 200,000 subscribers and over 13 million views. \nEddie believe that mathematics can be embraced and even enjoyed by absolutely everybody. He was named Australia's Local Hero and was a Top 10 Finalist in the Global Teacher Prize for his love of teaching mathematics. ""}",en
Dan Finkel,,,en
Jan Rader,{0: ['humanitarian warrior']},{0: 'Jan Rader is a firefighter and a nurse.'},en
Christina Greer,,,en
Colm Kelleher,,,en
Elizabeth Lyle,{0: ['leadership development expert']},"{0: ""BCG's Elizabeth Lyle challenges top leaders to create high-performance, future-ready organizational cultures.""}",en
Eva-Maria Geigl,,,en
Colm Kelleher,,,en
Lýdia Machová,{0: ['language mentor']},{0: 'Lýdia Machová teaches people how they can learn any language by themselves.'},en
Scott Mellor,,,en
Paula Stone Williams,"{0: ['religious leader', 'counselor', 'advocate'], 1: ['religious leader', 'storyteller']}","{0: 'Paula Stone Williams is a pastor, counselor, speaker, LGBTQ ambassador and gender equity advocate.', 1: 'Jonathan Williams likes to tell stories and throw parties, so he started a church that allowed him to do both.'}",en
